"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"26" 5.0347 3.8256 4 4.2506 12.6 4 34585 0.55311 2.6961 7644 0.27748 5.5911 52023 0.60354 1 0
"27" 4.7269 4.8529 3 4.3226 12.6 7 30347 0.45863 3.74 10484 0.76229 5.51 59744 0.7751 1 1
"28" 3.6966 5.9168 5 4.2138 15.2 7 34007 0.82382 5.7041 25033 0.88008 4.0934 22323 0.79714 1 1
"29" 4.2939 2.2736 7 5.2939 13.6 9 40724 0.55601 4.2113 10513 0.86954 5.1043 36168 0.46611 0 1
"30" 3.2127 7.06 5 6.8643 20.8 6 55017 0.85289 2.8018 4527 0.13125 5.4949 54517 0.56457 1 0
"31" 4.8884 9.3741 9 5.4761 11.6 6 3829 0.3027 3.9788 60336 0.60249 4.2464 7312 0.38353 0 1
"32" 2.8529 6.9323 8 5.849 18.8 4 29563 0.481 2.8585 9343 0.6629 4.3437 15365 0.34821 0 0
"33" 2.9311 4.807 4 6.4868 18.4 4 2863 0.27663 6.595 11353 0.23029 6.3881 70595 0.27851 0 0
"34" 3.1905 6.0477 0 3.4168 10.2 5 3712 0.13157 1.984 4237 0.88889 3.9514 5496 0.45162 1 0
"35" 1.0557 3.6067 1 4.8059 14.4 7 9686 0.20085 2.8941 29442 0.60571 5.4083 29807 0.16441 0 0
"36" 5.4384 8.4631 8 5.293 14 6 15298 0.15678 4.5325 15929 0.39252 6.0518 32746 0.51959 1 1
"37" 4.3252 6.9012 3 5.6877 16.4 16 30789 0.98562 2.7471 50301 0.85754 3.9332 31281 0.10773 1 0
"38" 3.2451 6.6456 3 3.9948 11.8 14 45768 0.56389 3.5898 8592 0.61287 4.9036 34414 0.90333 0 0
"39" 5.3703 3.8735 5 4.1792 10.4 1 7796 0.65225 4.3731 12408 0.59236 4.2464 36605 0.50299 1 0
"40" 2.2885 5.8666 7 5.7733 17.2 2 10178 0.53237 5.2532 13553 0.36948 5.0789 43725 0.73882 1 0
"41" 3.8978 4.4028 3 4.85 10.6 5 26863 0.96678 2.6531 27944 0.097959 4.6957 48376 0.45991 1 0
"42" 3.7586 4.8143 4 5.5039 18.8 7 2882 0.58651 3.3838 9233 0.19589 4.0018 10131 0.84429 0 0
"43" 4.3192 4.3833 5 4.2087 10.2 16 48105 0.18357 3.0742 18642 0.294 5.5924 35896 0.46537 0 0
"44" 4.3129 3.6238 2 3.8121 10.2 12 42149 0.54442 3.4437 3772 0.56868 5.5679 18286 0.88046 1 0
"45" 3.1351 3.8188 1 5.7387 19.6 6 31428 0.83018 4.0054 12425 0.73814 4.5685 25304 0.84263 1 0
"46" 3.9699 4.9835 7 6.2814 21.6 4 6996 0.55935 2.9325 21258 0.25602 5.4933 482580 0.61666 0 0
"47" 3.8351 2.5019 5 6.9186 25.4 8 12284 0.9686 4.5723 8508 0.79928 4.157 13883 0.53563 1 0
"48" 4.6277 6.346 3 3.8664 14.2 5 28396 0.50704 4.0769 21978 0.79031 4.2146 12860 0.43274 0 0
"49" 5.0933 5.137 3 3.9761 11 0 18172 0.10206 3.0736 20876 0.46794 4.2582 29948 0.96558 1 0
"50" 5.1093 6.4986 4 3.8984 14.4 8 21609 0.71333 3.8909 90492 0.34871 4.9194 5641 0.15789 0 1
"51" 3.1363 5.7827 9 4.9161 14.6 8 3104 0.148 4.836 49696 0.89938 4.6285 51262 0.13046 1 0
"52" 4.0774 6.1571 7 4.4493 13.4 14 13543 0.56369 4.8491 65070 0.65473 8.0158 29649 0.77453 0 0
"53" 2.7859 2.8615 2 6.4478 20.2 10 46465 0.92682 4.3915 17656 0.25506 4.9489 38534 0.25176 0 1
"54" 2.8865 3.6329 1 3.9089 12.2 15 83416 0.78665 3.4976 9778 0.57321 5.53 40339 0.40711 0 0
"55" 3.9932 4.5883 6 3.756 10.8 11 31429 0.65849 2.9311 12603 0.64573 5.5434 29858 0.6996 1 1
"56" 5.5326 5.5161 5 5.1461 14.4 7 8569 0.36859 3.8287 8701 0.1269 5.3338 15138 0.16072 0 0
"57" 3.2303 7.2146 9 6.2809 22 4 64228 0.48602 3.0797 34423 0.96658 5.1666 38223 0.87986 1 0
"58" 4.3714 4.8501 4 4.3153 14.4 9 22631 0.51117 3.2142 27396 0.081207 6.4741 120940 0.845 1 0
"59" 3.7744 7.4359 6 4.018 11.8 12 75694 0.072318 4.7495 63540 0.18861 4.2524 25473 0.87396 0 0
"60" 5.1174 6.1257 4 4.8216 15.4 9 11786 0.60204 5.5609 109740 0.96624 7.2749 189130 0.6951 1 0
"61" 2.9109 7.2902 12 3.8107 10.2 6 6329 0.76749 4.295 21010 0.69795 5.6714 9692 0.80165 1 0
"62" 4.0326 5.5449 10 4.9693 17.8 10 51026 0.22864 6.6616 31383 0.572 4.2603 14183 0.13647 0 1
"63" 4.5525 4.2386 3 5.818 17.8 13 86605 0.2107 2.1715 11709 0.39821 6.2512 12390 0.64359 1 0
"64" 5.1006 2.8643 5 5.1582 14.4 4 40462 0.70064 3.5952 45888 0.82485 6.3689 47559 0.92777 0 0
"65" 5.5442 5.5925 10 3.6737 11 7 13099 0.12858 3.6779 37004 0.30547 7.452 91664 0.53153 0 0
"66" 4.0859 6.6976 9 4.5082 16.6 3 4417 0.092741 5.8469 91695 0.93939 4.697 9905 0.45991 0 0
"67" 2.5084 4.8457 4 4.6932 12.4 9 75374 0.84489 4.1718 80758 0.86508 7.2847 171310 0.98875 1 1
"68" 3.2577 4.432 6 7.2108 21.6 20 56782 0.41837 3.2227 18150 0.49628 5.2313 17838 0.27414 0 1
"69" 2.9384 4.8189 7 5.9228 18.8 5 5506 0.81743 4.2404 63984 0.72732 4.0957 20998 0.14017 1 0
"70" 6.3505 3.5057 4 4.9023 13 5 7147 0.11505 4.3569 23420 0.38343 4.4721 12181 0.73451 0 0
"71" 3.3844 4.5117 3 6.441 20 9 11415 0.30651 3.7795 36541 0.31318 5.983 19196 0.57315 0 0
"72" 4.7481 5.0321 6 4.1542 10.6 10 71243 0.73103 1.8292 1697 0.16423 7.6769 30651 0.30811 0 0
"73" 3.8076 5.4097 6 4.6556 17.8 9 30007 0.72682 4.8934 110780 0.94172 4.2422 3755 0.1268 0 0
"74" 4.8886 5.227 7 6.5882 18.8 12 40678 0.77798 1.0567 576 0.11255 4.918 88561 0.73293 1 1
"75" 3.2352 6.3522 8 6.7205 21.8 5 10108 0.44229 3.6942 21187 0.3988 4.5446 1976 0.37622 0 0
"76" 2.5977 5.5155 3 5.7029 13 10 5940 0.29237 2.1553 5439 0.12882 7.922 19624 0.52811 0 0
"77" 2.5776 8.3567 7 5.4367 16.4 0 7548 0.15107 3.1908 5065 0.13907 4.4018 2668 0.37584 1 0
"78" 4.4882 5.8534 10 4.4711 15.6 8 33946 0.76251 5.4806 47952 0.70911 6.6322 13967 0.76622 0 0
"79" 3.8226 8.3408 7 5.7197 17.4 7 9107 0.28496 3.0333 16937 0.82154 4.5647 1475 0.13664 0 1
"80" 3.8039 4.1281 9 4.2978 14 7 14072 0.63592 6.3983 162620 0.97728 5.7813 59964 0.54631 1 0
"81" 5.4193 6.2109 6 5.5273 13.4 8 29388 0.90978 4.5421 28690 0.79586 4.1674 13316 0.19299 0 0
"82" 4.2916 4.8996 3 5.2213 15.2 7 8917 0.070377 3.3028 24155 0.4315 6.9699 20154 0.93876 0 1
"83" 4.1978 6.3336 4 6.2093 17.4 5 26733 0.95708 2.6736 12746 0.32523 3.7387 2665 0.075722 1 0
"84" 5.5877 6.3232 5 4.5938 13.4 9 43766 0.31496 3.0505 45704 0.69231 5.2864 8644 0.91877 1 0
"85" 3.1955 1.69 5 5.5956 16.8 11 161800 0.94751 4.0116 54460 0.88941 5.3825 22943 0.36314 0 0
"86" 4.6966 3.1216 6 5.7762 18 9 41900 0.96011 1.6193 4832 0.6057 4.4457 2674 0.31018 0 0
"87" 4.8351 2.9316 5 4.2501 12.2 9 4604 0.081522 4.3205 25962 0.094025 4.3616 21847 0.76675 0 0
"88" 3.7563 6.0031 6 5.0989 15.2 3 18864 0.59674 3.8951 90741 0.65765 5.5826 29766 0.81571 1 0
"89" 4.2157 7.7837 5 6.8646 21.8 10 12804 0.99956 4.5986 21173 0.28575 4.3225 10831 0.28844 1 0
"90" 2.8342 4.7886 4 5.0574 14.8 4 4900 0.27675 6.6502 108410 0.64783 4.9825 42423 0.83748 1 0
"91" 2.852 6.6872 6 4.6878 17 8 15303 0.72365 3.2228 6568 0.92092 3.46 8700 0.086719 1 0
"92" 4.1049 6.2426 7 5.4005 17.6 10 14164 0.6656 2.6071 5125 0.17547 3.7953 6627 0.74341 0 0
"93" 4.7223 3.5806 4 4.7154 14.2 7 16729 0.84845 5.1309 67050 0.19145 4.9695 24163 0.86781 0 0
"94" 6.5855 5.9958 7 5.3863 13.8 6 3251 0.66819 4.706 47608 0.72491 6.2635 36880 0.65042 0 0
"95" 3.3331 4.0802 12 4.8341 15.6 11 47394 0.30384 3.4127 38707 0.53828 4.0025 6306 0.44288 0 1
"96" 4.1873 7.8604 10 4.937 13.4 20 86227 0.51773 2.9564 7034 0.29321 5.6623 90032 0.91296 1 1
"97" 3.9175 5.2791 6 5.4048 14.6 8 63563 0.76496 3.8583 46158 0.86733 5.4577 89204 0.55331 1 0
"98" 2.067 8.06 3 6.5159 18 10 29799 0.59313 2.482 10634 0.61206 4.5874 19368 0.65723 0 0
"99" 3.561 4.6249 3 5.3954 18.4 7 17738 0.98441 3.6444 16623 0.66321 4.986 9491 0.69157 0 0
"100" 2.2053 6.3157 12 6.9442 21.8 14 151030 0.8265 2.9143 51338 0.4701 8.9706 26022 0.79753 1 0
"101" 4.8404 5.2287 9 3.6178 9.4 5 13735 0.62071 2.7481 37482 0.65165 4.1279 15507 0.10048 0 0
"102" 3.112 1.9634 1 4.5755 16 7 12133 0.21158 4.8122 4024 0.39262 5.4429 23905 0.44783 0 0
"103" 4.1001 3.6964 7 5.176 13.6 2 33823 0.13678 3.6039 23137 0.62064 5.1806 12835 0.083616 1 0
"104" 3.4555 6.3542 6 4.293 12.6 14 4671 0.75442 5.403 16722 0.80032 5.286 31551 0.44109 0 0
"105" 4.3035 5.2419 9 4.0118 12.8 8 14241 0.45054 2.5179 7233 0.50721 5.0003 8314 0.21747 0 0
"106" 3.3997 3.4688 8 5.5743 19 11 290220 0.91379 3.848 10985 0.29578 5.2478 37264 0.55096 1 0
"107" 4.49 4.2894 7 5.5695 15.6 10 29310 0.38024 2.5514 39103 0.33731 4.8143 5139 0.52327 0 1
"108" 4.7394 5.7492 6 5.2288 19.2 0 5173 0.67647 4.3253 68425 0.32479 3.9808 1207 0.46048 1 0
"109" 5.7119 3.6783 0 5.3364 16.2 12 10556 0.098965 5.3286 55060 0.92721 4.5902 15108 0.40146 0 0
"110" 3.8059 6.9583 5 4.2689 11.8 9 39557 0.94876 4.894 53595 0.67723 5.2048 11184 0.50183 0 0
"111" 1.8616 4.2655 4 4.538 13.4 10 5262 0.77312 1.7735 8130 0.17241 5.227 106750 0.91031 0 0
"112" 3.1604 8.3481 1 4.8586 16.2 5 15266 0.63938 4.4097 43711 0.84109 5.5762 109580 0.95327 1 0
"113" 5.3546 3.5336 5 4.3966 14 9 49336 0.27358 3.5795 20878 0.37175 9.0862 43698 0.78863 1 1
"114" 2.9278 5.6653 8 5.2715 17.8 8 12858 0.31119 3.9619 17150 0.70554 4.0002 4642 0.57852 1 1
"115" 4.961 2.7983 4 8.2152 20.6 5 28252 0.6435 3.0005 19364 0.91616 5.6644 27528 0.34296 1 1
"116" 4.124 4.1273 6 4.5499 15 10 26372 0.89781 2.0835 5328 0.65136 5.1179 19329 0.93291 1 0
"117" 5.4367 4.3446 5 5.6083 15.8 12 193700 0.56538 4.7034 19279 0.54791 4.9748 81264 0.39159 0 0
"118" 2.0391 6.0022 3 4.1608 13.6 15 14817 0.91819 3.0396 10090 0.41642 4.5223 12661 0.21029 1 0
"119" 3.8023 6.9036 5 6.4836 19.6 12 85336 0.99959 3.2166 12980 0.95832 4.9056 66311 0.76876 0 0
"120" 2.7922 5.8341 12 4.2031 10.8 10 6562 0.3133 3.7627 18429 0.48882 5.6643 100820 0.66578 1 0
"121" 6.908 4.7115 3 5.1494 16.4 7 41058 0.75395 7.6809 610580 0.93491 5.3878 279890 0.23423 1 0
"122" 4.8252 6.6925 5 4.4471 12 8 20119 0.35372 7.1514 20557 0.79567 4.0242 8022 0.69507 0 1
"123" 5.379 6.6648 12 5.4594 14.4 10 28061 0.10486 2.331 3279 0.63548 5.9509 24432 0.80993 0 0
"124" 2.9418 5.5337 3 4.9639 14.8 13 26738 0.95428 3.0718 16052 0.56777 5.2185 120920 0.97456 0 0
"125" 3.5314 6.2854 2 4.914 11.8 10 25445 0.76059 4.8407 27347 0.75152 7.9647 32377 0.77455 0 0
"126" 3.7275 6.0213 5 9.5 31 5 21980 0.28404 1.8002 2970 0.36728 4.2805 2803 0.52589 1 0
"127" 5.0984 3.6884 4 4.4386 13.4 7 5215 0.53869 5.2316 43684 0.99852 4.5047 18419 0.1535 1 0
"128" 3.7221 6.5993 5 4.9114 15 4 1536 0.20598 3.2315 27102 0.81597 3.9521 16434 0.91002 1 0
"129" 4.7015 4.238 2 8.8834 27.4 3 1334 0.070574 5.4818 13205 0.31623 5.008 17397 0.98528 0 1
"130" 1.9482 4.3268 3 4.0901 15.8 12 53331 0.065175 2.6944 7345 0.12459 6.0765 28549 0.4833 0 1
"131" 3.6462 5.6282 6 5.5038 15 7 16546 0.43301 2.6571 3351 0.079501 4.658 5661 0.19797 0 0
"132" 3.1764 4.8208 7 4.134 11.4 8 6688 0.25048 7.1953 64511 0.99299 4.6318 87386 0.87202 0 0
"133" 2.4229 5.1136 5 6.0679 18.2 4 57281 0.40776 4.2847 26472 0.32853 4.7835 24979 0.18373 1 0
"134" 4.508 6.3256 5 5.2671 17.2 3 14473 0.22798 3.2371 25573 0.84044 4.8808 13639 0.52731 1 1
"135" 4.282 7.0781 8 5.6136 16.6 3 3712 0.077985 2.5626 3764 0.53043 6.1182 56708 0.62417 0 0
"136" 4.0335 5.0034 4 4.7123 16.6 11 10150 0.32188 5.0139 39403 0.19712 5.0179 50983 0.8348 1 1
"137" 2.6663 5.8795 5 5.1851 14 3 2755 0.36971 3.9716 17756 0.97731 4.6556 7485 0.072554 1 1
"138" 5.1275 4.9362 8 6.6761 17.8 6 22471 0.1675 1.6824 16894 0.55942 5.6114 39931 0.65733 1 1
"139" 4.3502 5.716 4 3.5086 10.4 6 3770 0.41437 2.6739 13471 0.93584 4.1465 8193 0.4353 1 1
"140" 3.7009 6.0667 3 3.8123 10.6 6 5405 0.32454 8.7171 55024 0.87625 5.5706 140120 0.17215 1 0
"141" 4.0229 4.3052 7 5.3573 16.4 8 16386 0.53097 3.5566 13623 0.57632 4.8468 25080 0.46173 0 0
"142" 3.738 5.7914 3 4.4206 13.4 3 5595 0.10111 1.8472 3650 0.10549 8.7753 26357 0.85582 0 1
"143" 2.2498 6.3352 10 4.6979 16 8 52114 0.37659 2.6872 36205 0.53621 4.5496 15979 0.13355 1 0
"144" 3.7143 5.4872 7 3.8857 9.4 9 39684 0.75105 3.1255 8576 0.49721 5.3851 43989 0.50287 0 0
"145" 3.1686 8.2164 7 4.2458 13 11 45662 0.38611 4.4271 6053 0.12209 5.1025 165860 0.74429 1 0
"146" 3.0208 4.3191 0 4.6109 13.6 7 44058 0.71636 3.3914 12868 0.49139 4.2978 14916 0.25659 1 0
"147" 2.8436 4.1049 5 4.3694 16.2 5 12895 0.95404 3.6851 47529 0.66932 5.9094 61280 0.96909 0 0
"148" 3.4664 2.4169 4 4.2716 11.4 9 5738 0.64919 3.5498 29407 0.3274 3.7279 24620 0.63104 0 0
"149" 1.9974 6.8508 4 4.597 14.2 9 32807 0.86847 2.6244 11551 0.57641 3.859 15126 0.20109 0 0
"150" 4.9642 6.7785 6 4.2206 11.6 4 5972 0.97123 5.1203 148520 0.35706 4.1751 5948 0.43898 0 0
"151" 4.5201 5.2002 2 6.4869 18.8 8 15833 0.91712 3.1804 8263 0.27223 6.5843 39600 0.92655 1 1
"152" 3.98 6.8308 6 4.1905 12 10 16288 0.7422 3.0824 16326 0.53118 6.0603 21580 0.67775 0 0
"153" 3.9652 5.6395 7 7.218 21.6 12 49305 0.97907 3.7941 8726 0.29843 4.2057 24983 0.63188 0 0
"154" 3.2018 5.818 5 4.6346 16.2 5 33119 0.25635 3.4954 8150 0.61835 4.8665 87222 0.80937 0 0
"155" 5.0187 5.5216 3 3.9107 9.8 8 5453 0.26059 3.0255 9386 0.33078 4.4917 16548 0.6978 0 1
"156" 3.8668 6.0666 1 4.447 11.2 3 10391 0.95541 3.7146 31363 0.29555 5.2037 68905 0.21436 1 0
"157" 3.2855 5.5028 7 5.947 19.2 10 24201 0.68683 6.7803 316990 0.97065 8.6379 37783 0.48009 1 1
"158" 5.3514 9.9789 6 6.1003 19.8 9 9057 0.41687 4.2235 44734 0.81752 4.413 18271 0.32841 0 1
"159" 3.7752 3.3889 5 5.1027 16.2 7 38189 0.73977 2.8983 4659 0.58699 8.1305 55132 0.22151 1 0
"160" 3.411 2.2428 6 5.2268 15.2 7 41069 0.57987 2.7035 8803 0.65689 4.667 82531 0.17647 1 0
"161" 3.7062 3.4322 2 5.592 18.6 8 24605 0.50029 3.3107 9098 0.79489 4.5476 22909 0.6016 1 0
"162" 3.1521 3.5111 3 3.9067 13.2 13 25023 0.48584 2.1374 5623 0.67776 5.583 64027 0.76054 1 0
"163" 2.8799 4.6107 2 4.4744 14.2 5 19946 0.29341 6.2268 126460 0.79615 5.6985 24976 0.85407 0 0
"164" 6.526 5.0526 2 3.7122 9.8 13 52256 0.29121 3.8051 25873 0.41997 5.2463 15605 0.64364 0 0
"165" 5.6555 4.9691 4 4.5756 15.2 10 19020 0.4293 2.4546 21248 0.42525 4.0937 17087 0.18963 1 0
"166" 4.3075 6.2356 5 5.9653 17.2 6 17853 0.36085 3.7071 30081 0.9092 4.5234 8327 0.39243 1 0
"167" 2.7429 5.9821 6 5.6879 16 11 55953 0.94944 2.2353 3909 0.10129 4.4181 4716 0.17034 1 0
"168" 3.1345 6.5854 6 8.0629 23 8 16892 0.69378 4.2772 51278 0.4572 4.6361 14370 0.7425 1 0
"169" 3.8235 8.2971 7 5.1089 14.4 12 43472 0.91096 3.3714 4709 0.76943 4.4686 69114 0.14164 1 0
"170" 4.7914 7.3718 9 3.56 10.4 7 87067 0.64278 3.617 34179 0.83775 5.3873 20773 0.81646 0 0
"171" 2.668 3.1946 1 7.009 24.8 1 10114 0.43256 3.9959 34152 0.43562 6.1005 47955 0.80344 0 0
"172" 1.6701 1.4517 0 6.4032 20.4 5 6654 0.8246 4.6477 68868 0.62329 4.8148 12540 0.72228 0 0
"173" 2.5509 6.8366 7 4.4737 13 5 33830 0.87206 2.7566 3173 0.30609 5.5217 5030 0.27096 0 0
"174" 4.3335 2.2739 5 5.1629 15.4 9 12928 0.47465 2.2177 6433 0.27676 5.7591 34728 0.67992 0 0
"175" 4.3914 5.4446 3 5.76 15.2 8 13078 0.89148 3.455 16057 0.068395 5.1162 116210 0.64564 1 0
"176" 4.4517 5.3925 3 5.3255 15.4 7 14875 0.73748 2.7448 11755 0.30751 4.7991 15684 0.11505 0 1
"177" 3.8697 9.0453 2 5.6638 15.4 13 46099 0.76219 4.0747 44910 0.73213 4.6166 6643 0.55882 1 0
"178" 4.1837 5.218 1 4.8533 14.6 6 29107 0.98618 1.9426 11491 0.97072 4.253 5719 0.4853 1 0
"179" 3.5238 4.4878 9 4.9186 13.6 9 16645 0.91331 4.6546 46829 0.20779 4.7985 29181 0.28356 0 0
"180" 4.862 5.7263 7 5.0346 12 9 28541 0.83912 3.9278 23015 0.3581 5.1383 17812 0.8785 0 1
"181" 2.6383 5.743 4 4.3245 12.4 13 144960 0.86553 2.497 39501 0.38148 4.8614 52878 0.11857 0 1
"182" 4.455 5.4501 2 6.6033 20 13 13320 0.40292 3.2294 10642 0.20022 5.1899 20845 0.39351 0 1
"183" 3.1513 4.319 3 4.9593 12.4 7 17895 0.45224 4.6253 28735 0.39599 5.0426 3813 0.27576 0 0
"184" 3.6651 3.2957 4 5.6525 16.8 7 3634 0.92606 7.4363 38826 0.17138 5.6526 22444 0.33349 0 1
"185" 4.5528 5.8608 11 4.2795 11.6 4 9925 0.071016 3.1948 13132 0.44694 4.561 33613 0.29278 0 0
"186" 5.0391 3.0952 2 4.1348 14 10 134690 0.47592 5.4534 66589 0.54962 4.9125 56760 0.74382 0 0
"187" 2.8824 3.613 3 4.8724 15.2 5 57320 0.60681 2.7113 3649 0.54108 5.2117 84990 0.34665 0 1
"188" 5.2607 7.552 8 4.7339 16.6 13 35686 0.67843 3.8082 22046 0.58515 4.7269 49070 0.58052 0 0
"189" 4.6601 4.6352 3 6.2835 19 3 5690 0.0722 3.3438 7914 0.8034 5.2469 71676 0.48618 0 0
"190" 3.9321 5.0995 6 5.5621 17.4 8 39404 0.78363 3.9693 39750 0.96302 3.9413 56468 0.41753 0 0
"191" 3.8048 6.833 7 5.4902 16.2 9 32479 0.74449 3.0483 2334 0.39165 5.4207 117950 0.98787 1 0
"192" 3.7824 4.8331 5 3.9145 10.6 5 14710 0.2099 2.252 1445 0.084254 5.424 35104 0.40554 0 0
"193" 3.6969 7.0489 7 4.2041 11 11 128570 0.6306 3.2774 59024 0.68572 5.0041 15689 0.78398 0 0
"194" 4.023 4.7582 3 5.1429 13.2 7 10732 0.16892 4.0933 18620 0.92646 4.7428 15811 0.48367 1 0
"195" 4.0513 7.0213 7 4.6559 15.6 5 2863 0.87813 3.0405 2318 0.32252 4.6885 36600 0.54044 1 0
"196" 4.8261 6.3822 6 6.4141 15.4 11 15172 0.67667 3.3684 3515 0.53552 3.9753 31619 0.076971 1 0
"197" 5.527 4.9783 7 6.4858 19.4 10 39464 0.61153 4.0459 19259 0.25796 6.2284 32931 0.89854 1 0
"198" 4.4669 3.8905 8 4.4751 12 9 10621 0.1825 4.2209 29193 0.95156 5.6126 126140 0.74651 0 0
"199" 3.7903 3.5948 9 5.8743 17.2 10 5062 0.36285 2.8256 15136 0.61033 4.2943 7513 0.24063 0 0
"200" 4.6252 4.8832 5 6.5635 17.8 8 34502 0.93248 3.2799 36474 0.42142 4.0887 7890 0.35116 1 0
"201" 4.1832 4.6031 8 5.2605 14.8 6 2788 0.41664 4.6717 35757 0.158 4.7207 14149 0.42236 0 0
"202" 2.9702 4.6522 8 6.9051 20.8 3 7659 0.54625 3.9576 18747 0.3301 5.6649 18495 0.96592 0 1
"203" 4.9492 6.9726 11 6.1087 18.6 8 11167 0.18227 2.3083 20242 0.16962 5.8528 78301 0.30906 1 0
"204" 4.3071 4.8372 6 5.1546 14.4 2 3708 0.33221 5.7315 231700 0.66133 5.5005 26309 0.38323 0 0
"205" 4.1352 7.2395 6 5.8763 15.2 3 10365 0.7674 2.9344 12305 0.58365 5.7705 182210 0.8056 1 0
"206" 4.5152 4.4473 4 5.1355 12.8 5 17978 0.12848 2.8578 9347 0.71842 7.5749 57671 0.98881 0 0
"207" 4.2614 6.9543 5 4.6025 11.6 6 12751 0.89315 2.2504 19297 0.49147 3.9755 56922 0.55731 0 0
"208" 3.0585 4.4629 6 5.2986 15.4 6 5806 0.97382 3.4487 10158 0.51357 5.4319 3439 0.7815 0 1
"209" 3.8377 5.6276 6 4.9866 12.8 5 19210 0.12913 3.4563 4379 0.55333 4.962 32326 0.78809 1 0
"210" 3.8539 6.9512 3 4.6425 12.6 3 26242 0.07865 3.2238 12823 0.99171 4.4885 21681 0.7098 1 0
"211" 3.468 4.6434 6 7.1407 23 7 2674 0.3189 2.73 13210 0.56791 5.7077 191440 0.96448 1 0
"212" 5.6821 4.6029 9 5.1616 12.2 6 75639 0.838 2.0767 7866 0.40386 5.0006 30260 0.98661 1 0
"213" 3.1243 8.6723 8 8.9892 30.8 6 7555 0.41938 8.8255 34108 0.98658 6.3984 212170 0.80786 0 0
"214" 3.5162 6.9183 10 4.698 14.4 5 23632 0.45706 5.6514 22629 0.68632 4.3237 79788 0.44311 1 0
"215" 3.288 4.6133 2 5.5161 20.2 12 96594 0.71829 3.1868 7657 0.24311 4.43 9233 0.45714 1 0
"216" 2.8258 6.4149 6 6.8421 21 7 77606 0.31554 3.443 35939 0.85185 5.395 10220 0.39229 0 0
